biwords,frequency
have had,438
drink are,437
burger and,437
happen to,437
and even,437
bar to,436
NOT_to NOT_anyon,436
you should,436
so bad,435
we need,435
start to,435
they told,434
of food,434
order was,433
this bar,433
there i,433
NOT_get NOT_a,433
made it,433
that my,432
after wait,432
thing i,432
time for,431
manag to,431
ll be,431
for them,431
but no,431
and will,431
NOT_a NOT_,431
here is,429
menu and,429
up on,429
peopl who,429
we ve,429
