words,frequency
wast,467
anyon,467
salmon,466
comp,466
addit,465
fix,465
establish,463
skip,463
none,461
wow,460
gross,458
noodl,457
general,457
patron,456
vibe,454
mushroom,452
along,451
elev,451
mistak,449
level,449
NOT_got,449
chili,449
simpli,448
seen,447
soggi,446
NOT_vega,446
crispi,446
ticket,446
vip,445
appear,445
rememb,444
perhap,443
blue,442
soon,442
recent,441
morn,441
drunk,440
odd,440
sort,440
owner,440
typic,440
mine,439
sport,438
NOT_offer,437
NOT_well,437
posit,436
treat,435
goe,434
bottom,434
NOT_room,433
boy,433
five,432
avoid,432
NOT_befor,432
bone,431
NOT_better,430
chanc,429
inform,429
word,428
credit,427
suit,425
chair,425
split,424
NOT_serv,423
hang,422
state,422
NOT_flavor,421
consist,419
NOT_need,416
menus,416
believ,413
pour,413
box,411
shake,411
compar,410
ruin,410
ring,410
hair,409
NOT_night,408
forward,408
slight,408
pub,408
roast,408
mash,407
par,406
complain,404
lol,404
sour,402
rush,401
eaten,400
NOT_minut,399
round,398
girlfriend,397
despit,396
bore,396
sushi,395
NOT_off,395
simpl,394
guacamol,394
brunch,393
fan,392
th,392
NOT_use,391
NOT_server,391
NOT_than,391
plan,388
caus,388
yeah,387
step,387
incred,386
song,386
joint,386
confus,386
lost,385
tortilla,385
NOT_cook,385
deliv,385
otherwis,384
bag,383
NOT_bother,383
shop,383
toast,382
fail,381
la,381
lettuc,380
dog,380
remind,379
alright,377
NOT_happi,375
NOT_whi,375
date,374
mouth,374
NOT_mind,374
NOT_ever,373
plain,373
underwhelm,373
comfort,373
tonight,373
NOT_t,371
speak,370
steakhous,369
act,369
