cocktail1,cocktail1freq,cocktail2,cocktail2freq,cocktail3,cocktail3freq,cocktail4,cocktail4freq,cocktail5,cocktail5freq
anoth cocktail,4.0,found cocktail,5.0,us cocktail,7.0,cocktail get,19.0,cocktail price,29
cocktail want,4.0,servic cocktail,5.0,back cocktail,7.0,strong cocktail,19.0,creativ cocktail,29
nice cocktail,4.0,cocktail look,5.0,come cocktail,7.0,cocktail perfect,19.0,cocktail one,29
cocktail bottl,4.0,special cocktail,5.0,cocktail tasti,7.0,cocktail happi,18.0,cocktail even,29
cocktail okay,4.0,cocktail go,5.0,start cocktail,7.0,favorit cocktail,18.0,fantast cocktail,29
worst cocktail,4.0,cocktail price,5.0,cocktail expect,7.0,us cocktail,18.0,wonder cocktail,29
cocktail pretti,4.0,start cocktail,5.0,cocktail place,7.0,fun cocktail,18.0,make cocktail,29
crab cocktail,4.0,cocktail dinner,5.0,fine cocktail,7.0,cocktail friend,18.0,time cocktail,28
notaddor notaddcocktail,4.0,better cocktail,5.0,cocktail tabl,7.0,got cocktail,18.0,appet cocktail,28
wait cocktail,4.0,cocktail also,5.0,cocktail even,7.0,cocktail tabl,18.0,cocktail vega,28
cocktail wife,4.0,cocktail want,5.0,well cocktail,7.0,cocktail bartend,17.0,cocktail start,27
talk cocktail,4.0,cocktail took,5.0,notaddcocktail notaddwaitress,7.0,differ cocktail,17.0,yummi cocktail,27
this cocktail,4.0,dinner cocktail,5.0,cocktail noth,7.0,creativ cocktail,17.0,cocktail favorit,26
bad cocktail,4.0,tabl cocktail,5.0,lobster cocktail,7.0,cocktail awesom,17.0,cocktail high,26
downtown cocktail,4.0,lobster cocktail,5.0,cocktail no,7.0,cocktail ever,17.0,custom cocktail,26
notaddour notaddcocktail,3.0,cocktail tip,4.0,friend cocktail,7.0,awesom cocktail,16.0,get cocktail,26
cocktail three,3.0,cocktail got,4.0,vodka cocktail,7.0,cocktail glass,16.0,crab cocktail,26
tea cocktail,3.0,stop cocktail,4.0,overpr cocktail,7.0,cocktail littl,16.0,cocktail point,26
mix cocktail,3.0,cocktail two,4.0,cocktail made,6.0,cocktail overal,16.0,friend cocktail,25
seafood cocktail,3.0,place cocktail,4.0,cocktail way,6.0,friend cocktail,16.0,new cocktail,25
cocktail waiter,3.0,us cocktail,4.0,notaddcocktail notaddmenu,6.0,cocktail head,16.0,notadda notaddcocktail,24
notaddcocktail notaddand,3.0,frozen cocktail,4.0,also cocktail,6.0,also cocktail,16.0,well cocktail,24
cocktail bill,3.0,cocktail offer,4.0,amaz cocktail,6.0,cocktail recommend,16.0,cocktail came,24
cocktail wo,3.0,cocktail make,4.0,cocktail took,6.0,mix cocktail,16.0,select cocktail,24
cocktail howev,3.0,cocktail even,4.0,regular cocktail,6.0,no cocktail,16.0,hour cocktail,24
cocktail citi,3.0,cocktail place,4.0,though cocktail,6.0,grab cocktail,16.0,cocktail got,23
notaddfor notaddcocktail,3.0,cocktail howev,4.0,howev cocktail,6.0,make cocktail,16.0,stop cocktail,23
cocktail tri,3.0,notaddcocktail notaddor,4.0,water cocktail,6.0,downtown cocktail,16.0,cocktail get,23
cocktail noth,3.0,select cocktail,4.0,cocktail look,6.0,hous cocktail,15.0,cocktail uniqu,23
better cocktail,3.0,fresh cocktail,4.0,juic cocktail,6.0,cocktail program,15.0,vega cocktail,23
cocktail cocktail,3.0,make cocktail,4.0,cocktail howev,6.0,cocktail even,15.0,whiskey cocktail,23
notaddcocktail notaddfor,3.0,downtown cocktail,4.0,cocktail think,6.0,cocktail bit,15.0,cocktail fantast,22
cocktail see,3.0,cocktail ca,4.0,includ cocktail,6.0,cocktail refresh,15.0,fanci cocktail,22
cocktail got,3.0,base cocktail,4.0,cocktail enjoy,6.0,cocktail look,15.0,cocktail call,22
cocktail food,3.0,dollar cocktail,4.0,cocktail ca,6.0,stop cocktail,15.0,cocktail strong,22
paid cocktail,3.0,cocktail cocktail,4.0,notaddtheir notaddcocktail,6.0,serv cocktail,15.0,grab cocktail,22
even cocktail,3.0,meat cocktail,4.0,cocktail littl,6.0,fanci cocktail,15.0,downtown cocktail,22
sat cocktail,3.0,cocktail decid,4.0,notaddcraft notaddcocktail,6.0,best cocktail,15.0,cocktail cocktail,22
cocktail tabl,3.0,menu cocktail,4.0,cocktail start,6.0,bartend cocktail,15.0,cocktail ca,22
cocktail time,3.0,cocktail nice,4.0,cocktail bartend,6.0,night cocktail,15.0,cocktail tast,22
wife cocktail,3.0,cocktail take,4.0,cocktail mix,6.0,base cocktail,15.0,even cocktail,21
cocktail empti,3.0,atmospher cocktail,4.0,cocktail quit,6.0,list cocktail,15.0,us cocktail,21
cocktail said,3.0,per cocktail,4.0,decent cocktail,6.0,yummi cocktail,14.0,also cocktail,21
cocktail actual,3.0,made cocktail,4.0,cocktail hour,6.0,cocktail shrimp,14.0,cocktail alway,21
buy cocktail,3.0,cocktail ever,4.0,cocktail coupon,5.0,cocktail cocktail,14.0,cocktail look,21
shot cocktail,3.0,cocktail seem,4.0,cocktail three,5.0,cocktail fun,14.0,beauti cocktail,21
excel cocktail,3.0,tequila cocktail,4.0,made cocktail,5.0,cocktail strong,14.0,cocktail go,21
cocktail play,3.0,come cocktail,4.0,cocktail vega,5.0,cocktail interest,14.0,notaddcocktail notaddand,21
cocktail experi,3.0,movi cocktail,4.0,menu cocktail,5.0,cocktail best,14.0,tast cocktail,21
yet cocktail,3.0,cocktail peopl,3.0,cocktail dinner,5.0,cucumb cocktail,13.0,cocktail would,20
hour cocktail,3.0,spend cocktail,3.0,awesom cocktail,5.0,servic cocktail,13.0,cocktail two,20
cocktail well,3.0,size cocktail,3.0,came cocktail,5.0,cocktail offer,13.0,cocktail absolut,20
time cocktail,3.0,half cocktail,3.0,cocktail cost,5.0,sweet cocktail,13.0,serv cocktail,20
delici cocktail,3.0,cocktail tri,3.0,cocktail water,5.0,notaddcocktail notaddand,13.0,cocktail must,20
finish cocktail,3.0,best cocktail,3.0,cocktail wait,5.0,cocktail dessert,13.0,cocktail has,20
decent cocktail,3.0,cocktail waiter,3.0,cocktail strong,5.0,first cocktail,13.0,like cocktail,20
choic cocktail,3.0,cocktail mediocr,3.0,pay cocktail,5.0,cocktail around,13.0,qualiti cocktail,20
play cocktail,3.0,cheap cocktail,3.0,make cocktail,5.0,appet cocktail,13.0,cocktail tasti,19
creativ cocktail,3.0,cocktail end,3.0,cocktail unfortun,5.0,cocktail quit,13.0,cocktail wonder,19
notaddanoth notaddcocktail,3.0,cocktail disappoint,3.0,cocktail lunch,5.0,cocktail expens,12.0,fun cocktail,19
wine cocktail,3.0,water cocktail,3.0,appet cocktail,5.0,strip cocktail,12.0,interest cocktail,19
differ cocktail,3.0,pour cocktail,3.0,fanci cocktail,5.0,frozen cocktail,12.0,cocktail room,19
cocktail top,3.0,cocktail instead,3.0,cocktail left,5.0,dish cocktail,12.0,cocktail dessert,19
cocktail deliv,3.0,this cocktail,3.0,hour cocktail,5.0,better cocktail,12.0,night cocktail,19
cocktail still,3.0,notaddcocktail notaddher,3.0,stop cocktail,5.0,cocktail room,12.0,cocktail everyth,18
min cocktail,3.0,cocktail husband,3.0,cocktail special,5.0,come cocktail,12.0,cocktail fresh,18
want cocktail,3.0,cocktail tasti,3.0,cocktail end,5.0,vega cocktail,12.0,recommend cocktail,18
cocktail horribl,3.0,mix cocktail,3.0,disappoint cocktail,5.0,cocktail special,12.0,hous cocktail,18
cocktail left,3.0,cocktail show,3.0,cocktail averag,5.0,crab cocktail,12.0,cocktail includ,18
