cocktail1,cocktail1freq,cocktail2,cocktail2freq,cocktail3,cocktail3freq,cocktail4,cocktail4freq,cocktail5,cocktail5freq
staff cocktail waitress,2.0,cocktail ca rememb,2.0,crab cocktail good,2.0,wine cocktail list,5.0,lump crab cocktail,8
ask cocktail waitress,2.0,one specialti cocktail,2.0,cocktail bloodi mari,2.0,came cocktail sauc,5.0,cocktail tast like,8
place cocktail waitress,2.0,appet shrimp cocktail,2.0,cocktail well look,2.0,specialti cocktail beer,5.0,shrimp loui cocktail,8
cocktail waitress work,2.0,no cocktail servic,2.0,cocktail sweeter side,2.0,food cocktail great,5.0,best shrimp cocktail,7
cocktail empti glass,2.0,decent music cocktail,2.0,cocktail order sweet,2.0,full size cocktail,5.0,cocktail amaz food,7
cocktail waitress took,2.0,music cocktail seem,2.0,piec shrimp cocktail,2.0,menu specialti cocktail,4.0,got shrimp cocktail,7
cocktail realli mean,2.0,cocktail seem cuter,2.0,come back cocktail,2.0,great cocktail servic,4.0,glass wine cocktail,7
good shrimp cocktail,2.0,drink signatur cocktail,2.0,select cocktail tasti,2.0,shrimp cocktail great,4.0,cocktail also great,7
cocktail waitress take,2.0,notadda notaddcocktail notaddserv,2.0,good cocktail nice,2.0,signatur cocktail menu,4.0,cocktail amaz servic,7
this cocktail waitress,2.0,good tequila cocktail,2.0,cocktail good ambienc,2.0,tri shrimp cocktail,4.0,great cocktail excel,7
cocktail waitress realli,2.0,hand craft cocktail,2.0,good cocktail order,2.0,cake shrimp cocktail,4.0,food delici cocktail,7
forev get cocktail,2.0,shrimp cocktail good,2.0,dinner decid cocktail,2.0,cocktail menu one,4.0,cocktail good food,7
notadd notaddcocktail notaddwaitress,2.0,shrimp cocktail shrimp,2.0,went bar cocktail,2.0,cocktail servic great,4.0,cocktail wine select,7
well craft cocktail,2.0,cocktail craft cocktail,2.0,realli like cocktail,2.0,cocktail samba juic,4.0,this cocktail loung,7
tip cocktail waitress,2.0,tri signatur cocktail,2.0,beauti cocktail loung,2.0,notaddth notaddspecialti notaddcocktail,4.0,great cocktail bar,7
